areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-02-04,14140,3926869
overview,United Kingdom,K02000001,2021-02-03,18766,3912729
overview,United Kingdom,K02000001,2021-02-02,19558,3893963
overview,United Kingdom,K02000001,2021-02-01,21798,3874405
overview,United Kingdom,K02000001,2021-01-31,15400,3852607
overview,United Kingdom,K02000001,2021-01-30,16656,3837207
overview,United Kingdom,K02000001,2021-01-29,21808,3820551
overview,United Kingdom,K02000001,2021-01-28,24056,3798743
overview,United Kingdom,K02000001,2021-01-27,25708,3774687
overview,United Kingdom,K02000001,2021-01-26,27028,3748979
overview,United Kingdom,K02000001,2021-01-25,29878,3721951
overview,United Kingdom,K02000001,2021-01-24,17189,3692073
overview,United Kingdom,K02000001,2021-01-23,21841,3674884
overview,United Kingdom,K02000001,2021-01-22,29594,3653043
overview,United Kingdom,K02000001,2021-01-21,31724,3623449
overview,United Kingdom,K02000001,2021-01-20,35139,3591725
overview,United Kingdom,K02000001,2021-01-19,39520,3556586
overview,United Kingdom,K02000001,2021-01-18,44838,3517066
overview,United Kingdom,K02000001,2021-01-17,28876,3472228
overview,United Kingdom,K02000001,2021-01-16,30553,3443352
overview,United Kingdom,K02000001,2021-01-15,40430,3412799
overview,United Kingdom,K02000001,2021-01-14,42413,3372369
overview,United Kingdom,K02000001,2021-01-13,45432,3329956
overview,United Kingdom,K02000001,2021-01-12,49438,3284524
overview,United Kingdom,K02000001,2021-01-11,57185,3235086
overview,United Kingdom,K02000001,2021-01-10,36355,3177901
overview,United Kingdom,K02000001,2021-01-09,39082,3141546
overview,United Kingdom,K02000001,2021-01-08,47015,3102464
overview,United Kingdom,K02000001,2021-01-07,51958,3055449
overview,United Kingdom,K02000001,2021-01-06,57409,3003491
overview,United Kingdom,K02000001,2021-01-05,65146,2946082
overview,United Kingdom,K02000001,2021-01-04,76147,2880936
overview,United Kingdom,K02000001,2021-01-03,55188,2804789
overview,United Kingdom,K02000001,2021-01-02,60425,2749601
overview,United Kingdom,K02000001,2021-01-01,31841,2689176
overview,United Kingdom,K02000001,2020-12-31,52793,2657335
overview,United Kingdom,K02000001,2020-12-30,70817,2604542
overview,United Kingdom,K02000001,2020-12-29,81551,2533725
overview,United Kingdom,K02000001,2020-12-28,45603,2452174
overview,United Kingdom,K02000001,2020-12-27,47748,2406571
overview,United Kingdom,K02000001,2020-12-26,40361,2358823
overview,United Kingdom,K02000001,2020-12-25,14179,2318462
overview,United Kingdom,K02000001,2020-12-24,31843,2304283
overview,United Kingdom,K02000001,2020-12-23,42281,2272440
overview,United Kingdom,K02000001,2020-12-22,45684,2230159
overview,United Kingdom,K02000001,2020-12-21,47400,2184475
overview,United Kingdom,K02000001,2020-12-20,32473,2137075
overview,United Kingdom,K02000001,2020-12-19,25154,2104602
overview,United Kingdom,K02000001,2020-12-18,35850,2079448
overview,United Kingdom,K02000001,2020-12-17,33895,2043598
overview,United Kingdom,K02000001,2020-12-16,34936,2009703
overview,United Kingdom,K02000001,2020-12-15,33874,1974767
overview,United Kingdom,K02000001,2020-12-14,34727,1940893
overview,United Kingdom,K02000001,2020-12-13,21989,1906166
overview,United Kingdom,K02000001,2020-12-12,19367,1884177
overview,United Kingdom,K02000001,2020-12-11,24088,1864810
overview,United Kingdom,K02000001,2020-12-10,22628,1840722
overview,United Kingdom,K02000001,2020-12-09,21650,1818094
overview,United Kingdom,K02000001,2020-12-08,20799,1796444
overview,United Kingdom,K02000001,2020-12-07,21346,1775645
overview,United Kingdom,K02000001,2020-12-06,13608,1754299
overview,United Kingdom,K02000001,2020-12-05,12777,1740691
overview,United Kingdom,K02000001,2020-12-04,15689,1727914
overview,United Kingdom,K02000001,2020-12-03,15655,1712225
overview,United Kingdom,K02000001,2020-12-02,16457,1696570
overview,United Kingdom,K02000001,2020-12-01,16458,1680113
overview,United Kingdom,K02000001,2020-11-30,18036,1663655
overview,United Kingdom,K02000001,2020-11-29,10691,1645619
overview,United Kingdom,K02000001,2020-11-28,10958,1634928
overview,United Kingdom,K02000001,2020-11-27,14375,1623970
overview,United Kingdom,K02000001,2020-11-26,14570,1609595
overview,United Kingdom,K02000001,2020-11-25,16619,1595025
overview,United Kingdom,K02000001,2020-11-24,16461,1578406
overview,United Kingdom,K02000001,2020-11-23,18770,1561945
overview,United Kingdom,K02000001,2020-11-22,11740,1543175
overview,United Kingdom,K02000001,2020-11-21,12359,1531435
overview,United Kingdom,K02000001,2020-11-20,16866,1519076
overview,United Kingdom,K02000001,2020-11-19,17763,1502210
overview,United Kingdom,K02000001,2020-11-18,20772,1484447
overview,United Kingdom,K02000001,2020-11-17,23200,1463675
overview,United Kingdom,K02000001,2020-11-16,26598,1440475
overview,United Kingdom,K02000001,2020-11-15,16051,1413877
overview,United Kingdom,K02000001,2020-11-14,18028,1397826
overview,United Kingdom,K02000001,2020-11-13,24069,1379798
overview,United Kingdom,K02000001,2020-11-12,24496,1355729
overview,United Kingdom,K02000001,2020-11-11,27370,1331233
overview,United Kingdom,K02000001,2020-11-10,27433,1303863
overview,United Kingdom,K02000001,2020-11-09,31057,1276430
overview,United Kingdom,K02000001,2020-11-08,19965,1245373
overview,United Kingdom,K02000001,2020-11-07,18527,1225408
overview,United Kingdom,K02000001,2020-11-06,23325,1206881
overview,United Kingdom,K02000001,2020-11-05,23760,1183556
overview,United Kingdom,K02000001,2020-11-04,23680,1159796
overview,United Kingdom,K02000001,2020-11-03,25586,1136116
overview,United Kingdom,K02000001,2020-11-02,31506,1110530
overview,United Kingdom,K02000001,2020-11-01,15753,1079024
overview,United Kingdom,K02000001,2020-10-31,16485,1063271
overview,United Kingdom,K02000001,2020-10-30,22685,1046786
overview,United Kingdom,K02000001,2020-10-29,23349,1024101
overview,United Kingdom,K02000001,2020-10-28,23613,1000752
overview,United Kingdom,K02000001,2020-10-27,24108,977139
overview,United Kingdom,K02000001,2020-10-26,26549,953031
overview,United Kingdom,K02000001,2020-10-25,15729,926482
overview,United Kingdom,K02000001,2020-10-24,16236,910753
overview,United Kingdom,K02000001,2020-10-23,21483,894517
overview,United Kingdom,K02000001,2020-10-22,23248,873034
overview,United Kingdom,K02000001,2020-10-21,25462,849786
overview,United Kingdom,K02000001,2020-10-20,25318,824324
overview,United Kingdom,K02000001,2020-10-19,25628,799006
overview,United Kingdom,K02000001,2020-10-18,14193,773378
overview,United Kingdom,K02000001,2020-10-17,14773,759185
overview,United Kingdom,K02000001,2020-10-16,17726,744412
overview,United Kingdom,K02000001,2020-10-15,18442,726686
overview,United Kingdom,K02000001,2020-10-14,19712,708244
overview,United Kingdom,K02000001,2020-10-13,18909,688532
overview,United Kingdom,K02000001,2020-10-12,19451,669623
overview,United Kingdom,K02000001,2020-10-11,12079,650172
overview,United Kingdom,K02000001,2020-10-10,12517,638093
overview,United Kingdom,K02000001,2020-10-09,15736,625576
overview,United Kingdom,K02000001,2020-10-08,18257,609840
overview,United Kingdom,K02000001,2020-10-07,18335,591583
overview,United Kingdom,K02000001,2020-10-06,17072,573248
overview,United Kingdom,K02000001,2020-10-05,16556,556176
overview,United Kingdom,K02000001,2020-10-04,11805,539620
overview,United Kingdom,K02000001,2020-10-03,11549,527815
overview,United Kingdom,K02000001,2020-10-02,13696,516266
overview,United Kingdom,K02000001,2020-10-01,13191,502570
overview,United Kingdom,K02000001,2020-09-30,12558,489379
overview,United Kingdom,K02000001,2020-09-29,10243,476821
overview,United Kingdom,K02000001,2020-09-28,9929,466578
overview,United Kingdom,K02000001,2020-09-27,6974,456649
overview,United Kingdom,K02000001,2020-09-26,6762,449675
overview,United Kingdom,K02000001,2020-09-25,7253,442913
overview,United Kingdom,K02000001,2020-09-24,7609,435660
overview,United Kingdom,K02000001,2020-09-23,7061,428051
overview,United Kingdom,K02000001,2020-09-22,6408,420990
overview,United Kingdom,K02000001,2020-09-21,5603,414582
overview,United Kingdom,K02000001,2020-09-20,5323,408979
overview,United Kingdom,K02000001,2020-09-19,4859,403656
overview,United Kingdom,K02000001,2020-09-18,4960,398797
overview,United Kingdom,K02000001,2020-09-17,4634,393837
overview,United Kingdom,K02000001,2020-09-16,4368,389203
overview,United Kingdom,K02000001,2020-09-15,3554,384835
overview,United Kingdom,K02000001,2020-09-14,3396,381281
overview,United Kingdom,K02000001,2020-09-13,2146,377885
overview,United Kingdom,K02000001,2020-09-12,2673,375739
overview,United Kingdom,K02000001,2020-09-11,3293,373066
overview,United Kingdom,K02000001,2020-09-10,3594,369773
overview,United Kingdom,K02000001,2020-09-09,3331,366179
