areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
overview,United Kingdom,K02000001,2021-02-02,2460,405808
overview,United Kingdom,K02000001,2021-02-01,2590,403348
overview,United Kingdom,K02000001,2021-01-31,2379,400758
overview,United Kingdom,K02000001,2021-01-30,2447,398379
overview,United Kingdom,K02000001,2021-01-29,2664,395932
overview,United Kingdom,K02000001,2021-01-28,3033,393268
overview,United Kingdom,K02000001,2021-01-27,3046,390235
overview,United Kingdom,K02000001,2021-01-26,3131,387189
overview,United Kingdom,K02000001,2021-01-25,2922,384058
overview,United Kingdom,K02000001,2021-01-24,3106,381136
overview,United Kingdom,K02000001,2021-01-23,3101,378030
overview,United Kingdom,K02000001,2021-01-22,3387,374929
overview,United Kingdom,K02000001,2021-01-21,3622,371542
overview,United Kingdom,K02000001,2021-01-20,4042,367920
overview,United Kingdom,K02000001,2021-01-19,4156,363878
overview,United Kingdom,K02000001,2021-01-18,4057,359722
overview,United Kingdom,K02000001,2021-01-17,3745,355665
overview,United Kingdom,K02000001,2021-01-16,3943,351920
overview,United Kingdom,K02000001,2021-01-15,3672,347977
overview,United Kingdom,K02000001,2021-01-14,4087,344305
overview,United Kingdom,K02000001,2021-01-13,4222,340218
overview,United Kingdom,K02000001,2021-01-12,4576,335996
overview,United Kingdom,K02000001,2021-01-11,4307,331420
overview,United Kingdom,K02000001,2021-01-10,3927,327113
overview,United Kingdom,K02000001,2021-01-09,4123,323186
overview,United Kingdom,K02000001,2021-01-08,3991,319063
overview,United Kingdom,K02000001,2021-01-07,4288,315072
overview,United Kingdom,K02000001,2021-01-06,4391,310784
overview,United Kingdom,K02000001,2021-01-05,4114,306393
overview,United Kingdom,K02000001,2021-01-04,3933,302279
overview,United Kingdom,K02000001,2021-01-03,3648,298346
overview,United Kingdom,K02000001,2021-01-02,3437,294698
overview,United Kingdom,K02000001,2021-01-01,3370,291261
overview,United Kingdom,K02000001,2020-12-31,2917,287891
overview,United Kingdom,K02000001,2020-12-30,3280,284974
overview,United Kingdom,K02000001,2020-12-29,3247,281694
overview,United Kingdom,K02000001,2020-12-28,3126,278447
overview,United Kingdom,K02000001,2020-12-27,2871,275321
overview,United Kingdom,K02000001,2020-12-26,2527,272450
overview,United Kingdom,K02000001,2020-12-25,2183,269923
overview,United Kingdom,K02000001,2020-12-24,2083,267740
overview,United Kingdom,K02000001,2020-12-23,2270,265657
overview,United Kingdom,K02000001,2020-12-22,2475,263387
overview,United Kingdom,K02000001,2020-12-21,2368,260912
overview,United Kingdom,K02000001,2020-12-20,2167,258544
overview,United Kingdom,K02000001,2020-12-19,2043,256377
overview,United Kingdom,K02000001,2020-12-18,1919,254334
overview,United Kingdom,K02000001,2020-12-17,2143,252415
overview,United Kingdom,K02000001,2020-12-16,2077,250272
overview,United Kingdom,K02000001,2020-12-15,1953,248195
overview,United Kingdom,K02000001,2020-12-14,1952,246242
overview,United Kingdom,K02000001,2020-12-13,1754,244290
overview,United Kingdom,K02000001,2020-12-12,1798,242536
overview,United Kingdom,K02000001,2020-12-11,1686,240738
overview,United Kingdom,K02000001,2020-12-10,1752,239052
overview,United Kingdom,K02000001,2020-12-09,1754,237300
overview,United Kingdom,K02000001,2020-12-08,1782,235546
overview,United Kingdom,K02000001,2020-12-07,1658,233764
overview,United Kingdom,K02000001,2020-12-06,1467,232106
overview,United Kingdom,K02000001,2020-12-05,1378,230639
overview,United Kingdom,K02000001,2020-12-04,1434,229261
overview,United Kingdom,K02000001,2020-12-03,1502,227827
overview,United Kingdom,K02000001,2020-12-02,1487,226325
overview,United Kingdom,K02000001,2020-12-01,1488,224838
overview,United Kingdom,K02000001,2020-11-30,1404,223350
overview,United Kingdom,K02000001,2020-11-29,1381,221946
overview,United Kingdom,K02000001,2020-11-28,1219,220565
overview,United Kingdom,K02000001,2020-11-27,1280,219346
overview,United Kingdom,K02000001,2020-11-26,1421,218066
overview,United Kingdom,K02000001,2020-11-25,1614,216645
overview,United Kingdom,K02000001,2020-11-24,1494,215031
overview,United Kingdom,K02000001,2020-11-23,1587,213537
overview,United Kingdom,K02000001,2020-11-22,1488,211950
overview,United Kingdom,K02000001,2020-11-21,1460,210462
overview,United Kingdom,K02000001,2020-11-20,1545,209002
overview,United Kingdom,K02000001,2020-11-19,1683,207457
overview,United Kingdom,K02000001,2020-11-18,1782,205774
overview,United Kingdom,K02000001,2020-11-17,1715,203992
overview,United Kingdom,K02000001,2020-11-16,1770,202277
overview,United Kingdom,K02000001,2020-11-15,1669,200507
overview,United Kingdom,K02000001,2020-11-14,1612,198838
overview,United Kingdom,K02000001,2020-11-13,1647,197226
overview,United Kingdom,K02000001,2020-11-12,1912,195579
overview,United Kingdom,K02000001,2020-11-11,1972,193667
overview,United Kingdom,K02000001,2020-11-10,1847,191695
overview,United Kingdom,K02000001,2020-11-09,1761,189848
overview,United Kingdom,K02000001,2020-11-08,1685,188087
overview,United Kingdom,K02000001,2020-11-07,1555,186402
overview,United Kingdom,K02000001,2020-11-06,1413,184847
overview,United Kingdom,K02000001,2020-11-05,1586,183434
overview,United Kingdom,K02000001,2020-11-04,1677,181848
overview,United Kingdom,K02000001,2020-11-03,1514,180171
overview,United Kingdom,K02000001,2020-11-02,1567,178657
overview,United Kingdom,K02000001,2020-11-01,1487,177090
overview,United Kingdom,K02000001,2020-10-31,1459,175603
overview,United Kingdom,K02000001,2020-10-30,1373,174144
overview,United Kingdom,K02000001,2020-10-29,1584,172771
overview,United Kingdom,K02000001,2020-10-28,1485,171187
overview,United Kingdom,K02000001,2020-10-27,1488,169702
overview,United Kingdom,K02000001,2020-10-26,1532,168214
overview,United Kingdom,K02000001,2020-10-25,1418,166682
overview,United Kingdom,K02000001,2020-10-24,1256,165264
overview,United Kingdom,K02000001,2020-10-23,1289,164008
overview,United Kingdom,K02000001,2020-10-22,1275,162719
overview,United Kingdom,K02000001,2020-10-21,1259,161444
overview,United Kingdom,K02000001,2020-10-20,1184,160185
overview,United Kingdom,K02000001,2020-10-19,1092,159001
overview,United Kingdom,K02000001,2020-10-18,1086,157909
overview,United Kingdom,K02000001,2020-10-17,1024,156823
overview,United Kingdom,K02000001,2020-10-16,910,155799
overview,United Kingdom,K02000001,2020-10-15,1044,154889
overview,United Kingdom,K02000001,2020-10-14,981,153845
overview,United Kingdom,K02000001,2020-10-13,1020,152864
overview,United Kingdom,K02000001,2020-10-12,883,151844
overview,United Kingdom,K02000001,2020-10-11,823,150961
overview,United Kingdom,K02000001,2020-10-10,720,150138
overview,United Kingdom,K02000001,2020-10-09,703,149418
overview,United Kingdom,K02000001,2020-10-08,710,148715
overview,United Kingdom,K02000001,2020-10-07,683,148005
overview,United Kingdom,K02000001,2020-10-06,722,147322
overview,United Kingdom,K02000001,2020-10-05,625,146600
overview,United Kingdom,K02000001,2020-10-04,629,145975
overview,United Kingdom,K02000001,2020-10-03,532,145346
overview,United Kingdom,K02000001,2020-10-02,528,144814
overview,United Kingdom,K02000001,2020-10-01,523,144286
overview,United Kingdom,K02000001,2020-09-30,451,143763
overview,United Kingdom,K02000001,2020-09-29,440,143312
overview,United Kingdom,K02000001,2020-09-28,444,142872
overview,United Kingdom,K02000001,2020-09-27,340,142428
overview,United Kingdom,K02000001,2020-09-26,351,142088
overview,United Kingdom,K02000001,2020-09-25,384,141737
overview,United Kingdom,K02000001,2020-09-24,422,141353
overview,United Kingdom,K02000001,2020-09-23,421,140931
overview,United Kingdom,K02000001,2020-09-22,350,140510
overview,United Kingdom,K02000001,2020-09-21,369,140160
overview,United Kingdom,K02000001,2020-09-20,289,139791
overview,United Kingdom,K02000001,2020-09-19,260,139502
overview,United Kingdom,K02000001,2020-09-18,263,139242
overview,United Kingdom,K02000001,2020-09-17,264,138979
overview,United Kingdom,K02000001,2020-09-16,285,138715
overview,United Kingdom,K02000001,2020-09-15,270,138430
overview,United Kingdom,K02000001,2020-09-14,255,138160
overview,United Kingdom,K02000001,2020-09-13,224,137905
overview,United Kingdom,K02000001,2020-09-12,216,137681
overview,United Kingdom,K02000001,2020-09-11,231,137465
overview,United Kingdom,K02000001,2020-09-10,217,137234
overview,United Kingdom,K02000001,2020-09-09,201,137017
overview,United Kingdom,K02000001,2020-09-08,184,136816
overview,United Kingdom,K02000001,2020-09-07,142,136632
overview,United Kingdom,K02000001,2020-09-06,138,136490
overview,United Kingdom,K02000001,2020-09-05,130,136352
overview,United Kingdom,K02000001,2020-09-04,153,136222
overview,United Kingdom,K02000001,2020-09-03,145,136069
overview,United Kingdom,K02000001,2020-09-02,144,135924
overview,United Kingdom,K02000001,2020-09-01,134,135780
overview,United Kingdom,K02000001,2020-08-31,91,135646
overview,United Kingdom,K02000001,2020-08-30,77,135555
overview,United Kingdom,K02000001,2020-08-29,110,135478
overview,United Kingdom,K02000001,2020-08-28,137,135368
overview,United Kingdom,K02000001,2020-08-27,151,135231
overview,United Kingdom,K02000001,2020-08-26,132,135080
overview,United Kingdom,K02000001,2020-08-25,122,134948
overview,United Kingdom,K02000001,2020-08-24,91,134826
overview,United Kingdom,K02000001,2020-08-23,74,134735
overview,United Kingdom,K02000001,2020-08-22,72,134661
overview,United Kingdom,K02000001,2020-08-21,109,134589
overview,United Kingdom,K02000001,2020-08-20,98,134480
overview,United Kingdom,K02000001,2020-08-19,114,134382
overview,United Kingdom,K02000001,2020-08-18,130,134268
overview,United Kingdom,K02000001,2020-08-17,96,134138
overview,United Kingdom,K02000001,2020-08-16,80,134042
overview,United Kingdom,K02000001,2020-08-15,99,133962
overview,United Kingdom,K02000001,2020-08-14,102,133863
overview,United Kingdom,K02000001,2020-08-13,130,133761
overview,United Kingdom,K02000001,2020-08-12,101,133631
overview,United Kingdom,K02000001,2020-08-11,114,133530
overview,United Kingdom,K02000001,2020-08-10,86,133416
overview,United Kingdom,K02000001,2020-08-09,106,133330
overview,United Kingdom,K02000001,2020-08-08,141,133224
overview,United Kingdom,K02000001,2020-08-07,117,133083
overview,United Kingdom,K02000001,2020-08-06,100,132966
overview,United Kingdom,K02000001,2020-08-05,140,132866
overview,United Kingdom,K02000001,2020-08-04,126,132726
overview,United Kingdom,K02000001,2020-08-03,110,132600
overview,United Kingdom,K02000001,2020-08-02,93,132490
overview,United Kingdom,K02000001,2020-08-01,128,132397
overview,United Kingdom,K02000001,2020-07-31,113,132269
overview,United Kingdom,K02000001,2020-07-30,132,132156
overview,United Kingdom,K02000001,2020-07-29,132,132024
